gisaid_epi_isl,division,location,pangolin_lineage,date_submitted
EPI_ISL_450419,Anhui,,Unassigned,2020-04-30
EPI_ISL_493167,Hubei,Wuhan,B,2020-07-21
EPI_ISL_421233,Hangzhou,,B,2020-04-07
EPI_ISL_412423,Shandong,Linyi,Unassigned,2020-02-25
EPI_ISL_471466,Guangdong,,Unassigned,2020-06-22
EPI_ISL_471462,Guangdong,,Unassigned,2020-06-22
EPI_ISL_493151,Hubei,Wuhan,B,2020-07-21
EPI_ISL_412026,Anhui,Hefei,B,2020-02-24
EPI_ISL_450422,Anhui,,Unassigned,2020-04-30
EPI_ISL_454928,Hubei,Wuhan,B,2020-05-29
EPI_ISL_413875,Guangdong,,B,2020-03-09
EPI_ISL_406716,Hubei,Wuhan,B,2020-01-23
EPI_ISL_512771,,,Unassigned,2020-08-12
EPI_ISL_471463,Guangdong,,Unassigned,2020-06-22
EPI_ISL_450431,Jiangsu,,Unassigned,2020-04-30
EPI_ISL_450432,Jiangsu,,Unassigned,2020-04-30
EPI_ISL_450438,Jiangsu,,Unassigned,2020-04-30
EPI_ISL_421531,Wuhan,,Unassigned,2020-04-08
EPI_ISL_412054,,,Unassigned,2020-01-21
EPI_ISL_412424,Shandong,Linyi,Unassigned,2020-02-25
EPI_ISL_413885,Guangdong,,Unassigned,2020-03-09
EPI_ISL_454418,Guangdong,Meizhou,B,2020-05-25
EPI_ISL_455400,Hubei,Wuhan,B,2020-05-29
EPI_ISL_463900,Zhejiang,Yuecheng,B,2020-06-10
EPI_ISL_429101,Guangzhou,,B,2020-04-23
EPI_ISL_455403,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454907,Hubei,Wuhan,B,2020-05-29
EPI_ISL_416408,Shanghai,,B,2020-03-20
EPI_ISL_455009,Hubei,Wuhan,B,2020-05-29
EPI_ISL_455010,Hubei,Wuhan,B,2020-05-29
EPI_ISL_454913,Hubei,Wuhan,B,2020-05-29
EPI_ISL_417420,NanChang,,B.1,2020-03-25
EPI_ISL_471464,Guangdong,,Unassigned,2020-06-22
EPI_ISL_471465,Guangdong,,Unassigned,2020-06-22
EPI_ISL_454926,Hubei,Wuhan,B,2020-05-29
EPI_ISL_430728,Beijing,,A,2020-04-27
EPI_ISL_452328,Beijing,,B.6,2020-05-27
EPI_ISL_413729,Weifang,,A,2020-03-09
EPI_ISL_403930,Hubei,Wuhan,B,2020-01-21
EPI_ISL_406030,Guangdong,Shenzhen,A,2020-01-24
